"","Model","pr1","pr2","pr3","pr4","pr5","pr6","pr7","pr8","pr9","pr10","pr11","pr12","pr13","pr14","pr15","pr16","pr17","pr18","pr19","pr20","pr21","pr22","pr23","pr24","pr25","pr26","pr27","pr28","pr29","pr30","pr31","pr32","pr33","pr34","pr35","pr36","pr37","pr38","pr39","pr40","pr41","pr42","pr43","pr44","pr45","pr46","pr47","pr48","pr49","pr50","pr51","pr52","pr53","pr54","pr55","pr56","pr57","pr58","pr59","pr60","pr61","pr62","pr63","pr64","pr65","pr66","pr67","pr68","pr69","pr70","pr71","pr72","pr73","pr74","pr75","pr76","pr77","pr78","pr79","pr80","pr81","pr82","pr83","pr84","pr85","pr86","pr87","pr88","pr89","pr90","pr91","pr92","pr93","pr94","pr95","pr96","pr97","pr98","pr99","pr100"
"1","ACCESS1-3",-75.2590496422586,11.4435340785695,6.58041384992101,10.2187994612658,7.03997837556998,8.2282285628862,7.75133608092615,8.63223930382093,6.85354770349841,8.51097222580056,-2.64264982543345,-59.0054882838416,12.7194156383379,4.18783551309537,7.85644092477901,7.26414749475781,7.94532781373421,6.92988110887501,7.317530840806,7.42755877488973,0.863114727011322,-3.15406421095686,-24.9056829312193,20.7226360739216,-2.17210529635028,1.34134676936524,1.58095299966342,2.65473412766256,2.32698872008699,0.742079020815317,-0.340494352385997,-0.179033681619159,-15.4779111986148,-19.8510854312729,8.83722563747246,8.07977438757906,5.48855051244209,5.41602478432572,3.12560436945581,4.9013449726177,0.191800495030247,0.0114425869207405,1.08331936558579,-2.52099243985859,-20.8009850120861,13.4475361091075,2.56226263239418,2.48328929287082,1.6412590215634,1.90106794847191,-0.0354346151696254,0.135187292828631,-0.526196608413033,-2.69744254692336,-7.36367195379781,-16.5302590889065,13.1196195229659,6.55218012144741,3.68527171499882,3.66074616096959,0.112576341767517,-0.189610843990218,0.0931841117575602,-1.04707791407672,-1.71680683423087,-3.60415739540371,-14.8248909744842,14.5050675264694,2.78159360736895,3.8901223748223,0.148195599668068,-0.0170362228932318,0.89873191401686,0.923780191715699,1.58038535433119,2.47077426079944,4.89299325103864,10.8663218396856,-10.8868946649042,-10.8772515234581,-0.281179943232113,0.0680200980056219,0.100611186786854,-0.936427036354281,0.146041929433525,0.191527075201043,-0.30449535294432,0.587829614711068,13.2700112041044,-12.8419387757118,-6.33104679792496e-14,-5.73152636462737e-15,3.31679128606766e-15,-6.10622663543836e-15,1.56263890715991e-14,9.93649607039515e-15,-8.79851747015437e-15,2.37032615757471e-14,1.73264180780563e-14,1.49255607873044e-14
"2","bcc-csm1-1",-73.1777867314976,14.1874501504465,4.79489445693743,6.40424652774509,9.31412367640633,7.80329585040753,6.78035859926433,7.63179110402176,7.75165030528001,8.5099760609886,-4.99147509851379,-57.8098223426626,9.81685282412691,9.17765030549787,6.74045901980713,7.43897513392618,6.57960187287425,8.49615545009567,6.66542581636212,7.8861770184863,1.02969817106637,-1.07505495663157,-32.3205935734152,11.9438890018056,6.01870944208949,3.43601445921164,1.1818632890458,3.83073645437888,2.25392200861035,3.70081570383859,0.753675864113197,-1.14033131528405,-5.56015810510707,-26.1901424409101,11.0756007175775,6.64861536949106,3.05786304891231,4.82684213564181,3.22510517938142,3.30292954618389,-0.239242884508849,0.128365147671268,-2.17949192448564,-2.64105820630386,-20.2063549550326,16.63057860719,0.521032458906448,2.98063252820228,3.17834910262689,1.82719012573404,0.149548731161202,0.0671575717810706,2.13818649229817,3.23080793300429,9.3316586309466,15.9968140380127,-9.70024934871627,-9.23684138195634,-7.24357034585268,-4.73351232067877,-0.212363701630227,-0.353530617298519,-1.07597359742915,-0.11859940465718,-0.289671769724632,2.1121008618588,18.1547279973187,-10.4717116625508,-5.72673532588928,-2.0182427799978,-0.0537829247372421,0.413200440513982,0.608796466555479,0.530048246348993,-0.0843688497136237,0.905845796666913,2.12081315738497,12.8671831347624,-16.2390312598597,-1.06870420792215,0.188390664757003,0.0953697920206988,0.121845548091009,-0.796439454525828,-1.28668625118155,-1.4079379516896,-2.77599947243925,-5.19426951971786,-5.67053107387451,16.7262577185599,-6.61137811164281e-14,-4.27435864480685e-15,2.75474087985117e-15,1.08246744900953e-14,-7.48012762841199e-15,1.30936927966729e-14,1.22887811038197e-14,2.02754479872169e-14,1.51337276044217e-14,3.67067487516692e-15
"3","BNU-ESM",-75.3698372360542,8.41172100523728,9.784062294126,10.5793033633159,8.95207207729944,7.99685460031318,7.62983405154717,6.92658213970688,6.85606812263218,8.23333958187619,-0.0699407105895524,-56.9062666880434,9.13229440683398,4.99618837003368,6.96463620270967,7.91545025419625,5.65481678248824,8.29314743098385,7.59672896113038,6.4229449902569,-0.132748102945949,-1.5296537521285,-30.1891688114975,17.9175569421373,3.03053342494894,2.21616399011245,2.36740024389287,1.51921735472901,3.11069891495131,1.68999979580012,1.04112905632047,-0.541110851892356,11.5155096531496,24.2052782619476,-8.05440873487127,-7.22626923980958,-6.51256245484598,-4.29531013854827,-5.10641338805755,-5.02584216339267,0.370384746989957,-0.126918297344668,0.879925268554071,0.652204836444061,22.0019785208296,-11.0048112759108,-6.10812092824044,-2.86269236215036,-1.63386345813007,-2.16808705104131,-0.220885019668912,-0.426632805319129,-0.40581734661812,-0.806983913605042,-4.04962748744909,-17.6814069725157,13.3864803480836,3.48957157144845,3.26738097869395,3.44792064694997,0.30741721004713,-0.564310481871388,0.84220657820634,1.26240020150287,3.69191395220294,4.90020820174221,13.8358010042119,-11.5170337657316,-9.68544270791779,-3.07316019239258,-0.101121973999126,0.267521720244959,-0.269790419758811,0.119766996840471,1.43779075961987,0.963818814038216,2.93566144600876,14.4341965474774,-8.32354816616697,-11.4642957243047,0.16580813814311,-0.170445234057631,-0.682562359910101,0.0165521164744264,-0.26027952557366,-0.888648513757963,-2.60809056161799,3.92203358464737,-13.3889324012161,13.8945647568685,1.11022302462516e-16,-5.48033840530593e-14,1.72153957755938e-14,2.0122792321331e-15,6.66133814775094e-15,1.46896383945716e-14,5.13478148889135e-16,7.64666108210577e-15,8.31279489688086e-15,2.78943534937071e-15
"4","CanESM2",-75.282742669356,13.6931421324623,6.69471046599715,7.79548138638268,8.20594945801003,7.78908998750218,7.67872173832383,7.53995527362195,8.85917985745089,7.02651236960505,-4.3356762592079,-59.6113902084713,10.5521760074283,8.28018454953475,8.67972398643522,8.21234197378188,7.23250361806535,7.75055508015958,6.80892812660969,6.43065312566442,0.321788883503028,-1.218550989735,-29.6508689727195,14.0375130507222,3.80231347749828,2.99684366049729,3.38603861757092,1.31374457600133,2.35959324403727,2.65158445262416,-0.126730188106879,0.579235854822082,8.34882592596357,24.5356436112188,-7.61700932897195,-7.77357718837053,-5.08292634420882,-4.39262466082336,-5.40598794561853,-3.06484973590438,0.110227613919466,0.238694187384138,0.535173925605479,0.172885839075819,19.1682947570632,-13.8465729814489,-3.06575039225705,-0.853760105697041,-1.13754843657194,-1.3216444070732,-0.0915060690675468,-0.465204713464704,-0.934242084883084,-1.81655295366473,-7.70014096883229,-14.717743272571,13.8784717154946,5.17452316136806,2.86642441056374,3.80597077505688,-0.0309884720757299,0.252280310871492,1.20858446662232,0.614506260927499,3.92073238058016,4.23275027650682,13.9139543849386,-10.6468308342778,-8.60186187813217,-4.86312689596116,-0.193336644899263,0.256420383968355,-0.403710287423524,-0.0474731404795039,0.779710552605671,1.46894670822911,0.240276109302097,13.3057561060281,-14.5954263020416,-0.811163485289429,-0.219967336349218,-0.194279642267668,-0.0905886400559064,-0.995831153037639,-0.269642827406546,-0.633266792825004,-2.0500081371267,-5.542825392181,-6.05158910934724,16.0479990305969,6.8139938136369e-15,3.43960970816681e-14,1.24622534514174e-14,-7.60502771868232e-15,-2.019218126037e-15,-1.49324996812084e-14,-4.16680578929629e-15,-1.47555578866587e-14,-6.8365452188246e-15,-3.42781358853017e-15
"5","CCSM4",-73.435651933483,15.1769933974128,3.85527901190038,8.58123359477443,8.25777774030055,7.09713027384366,6.7396271082746,7.49084941297663,8.07110947744885,8.16565191655106,-5.80556031920948,-57.6721018295683,11.6362477945856,7.78626401867035,7.99340858670465,8.30679304101949,6.46257056711223,6.57011518696079,7.1168918855794,7.6053710681452,1.32180003368685,-1.7905286634957,-26.2778029152914,21.6060156008784,3.50646103226327,1.93148653903327,0.315558114345036,-0.551213952253558,0.134829724477027,-0.196605513643256,-0.433418977763776,1.17724415614336,14.8561374446457,20.7909832674062,-15.6689557725481,-1.25201279836679,-5.43267461858073,-5.38859340869462,-5.24498514388645,-3.40372414835484,0.117305203195844,0.319894553699095,5.33760416789946,5.46119265191671,16.6276950255879,-18.7704021289227,-3.38291094054686,-2.34477791131229,-0.762222775654576,-2.60337784586258,-0.00896390198121358,-0.749351322696704,-2.67515661951096,-0.179976356002817,-11.2480653182772,-14.5290751694693,11.156090509937,7.16762397146278,7.15485414145247,3.91202006508601,0.256440087638329,-0.0714555244881276,-0.965457584395878,-0.226601005215617,-2.17073486760595,-1.26765827122056,-17.0108671573174,10.8540117055937,7.70670044134941,2.89562217566206,-0.148357330202143,-0.100319398453076,0.225678722271243,0.542605862841708,0.861517456918489,-0.13401215235939,1.89669594509827,14.1194768606233,-14.327060973993,-2.93622499274534,0.148769578941328,0.0460029368189027,-0.796633161538617,-0.559830753786809,-0.532643674097208,-2.04411169032566,-2.39486280078049,-3.51919178871178,-7.31013703557673,16.9626383890571,-3.61377594515488e-14,3.84692278032617e-14,-1.78052017574259e-14,3.10862446895044e-15,9.17321774096536e-15,1.26981758441502e-15,5.14692455322319e-15,-5.96050986345631e-15,5.91540705308091e-15,-8.81239525796218e-16
"6","CESM1-CAM5",-71.8708693293996,17.6813627165195,-1.78426887987058,6.87932376018994,6.41880008079706,8.35373161531654,8.24146175930246,7.82257837790706,9.39713378607728,8.86074611316037,-9.70912740602892,-57.1149276796314,22.9068714535342,2.29712380667688,8.76002002026285,6.74594459249332,7.23016682302751,5.71244449635969,6.65692868372929,6.51455520957662,1.33748079125872,-3.54211325413562,-18.2775631323504,-7.82445707051554,28.0519981093735,1.87064535387852,0.269429697700813,0.683962873150876,-0.971402368945715,-1.59798099941514,-0.190103937440633,-3.48647532119425,-6.80686663219805,28.8092683142712,3.25396621822352,-4.06904118256158,-3.34321383917426,-6.00532924538501,-4.46020143995293,-3.70200293458804,0.31683348627872,-0.91872506377053,-2.84965947942402,0.375706481613384,-3.37011710777984,22.7044028845777,-7.86430200281893,-4.28531682120102,-3.62673035184688,-0.482092025628574,0.331089813742739,0.124406468815228,-0.959964849378927,-1.2887358645368,-0.621144169655947,1.82326323444707,13.5681938013244,-17.785996556201,4.11091888089262,0.697969240550671,-0.19920562372929,-0.132834811588166,-0.590403093954013,0.249164170136483,-1.52926331970121,2.66684206391696,12.8224616005032,6.25729272372292,-16.1208753945967,-3.42317831471015,-0.236177881716369,0.819203193561269,2.44530772962172,-0.83905492582003,2.44960629761947,-2.79991759934762,-4.03298263097056,-5.06554011111959,-9.54406672065901,16.8036226488307,-1.22730981326919,3.50143083945504,11.1633053493579,-0.746744130107381,7.16076091338362,-0.234273925040503,-3.40640888175968,-4.65621343108236,-4.08212292933723,-7.47242399160018,5.50115508701765e-14,-1.53210777398272e-14,9.25648446781224e-15,6.30051566474776e-15,-2.32314167902814e-14,-2.34534613952064e-15,-2.34534613952064e-15,1.0547118733939e-14,-2.94347879403745e-14,-6.31439345255558e-15
"7","CNRM-CM5",-74.911057014766,16.8056322427334,8.53014616077099,5.9592442736809,5.88701503581856,7.25623378939393,8.24233289261302,7.18034174597838,8.00674064327312,7.0433702305037,-7.0771659666765,-60.4860853720651,8.09782049572521,8.67415309596791,10.3763323532378,9.11289838437192,7.86191927366145,7.89772683676472,7.67220018897585,7.87020071003675,-0.614903183226599,0.353025844458108,-29.3838633917631,11.6957934880773,3.83870798694634,2.54321629232981,2.576552533472,2.72721075296528,3.07397496202082,3.19028471471999,0.233133553202683,0.0691279706479008,-6.75363489822577,-25.3000606798127,8.90821960212465,6.8388602434398,4.52297321317674,3.93403483969432,4.07710875349343,3.47023740225894,-0.316967921225761,0.619189203230958,1.18183242379219,1.73238185685217,19.9057759198813,-11.5247916371638,-3.14283254599684,-3.80312408820162,-2.22157273329029,-2.42989047787832,0.197638723297285,-0.583648336444214,-0.608665178090087,-2.12939169568717,-5.48687917077359,-16.4848953596584,10.1677541379765,6.3333005202992,4.77233797288924,3.82244838619117,-0.13415898946824,-0.0578931427839202,-0.0128461658021519,-0.645743018192065,-0.682510791778807,-2.49568684399479,-15.2181752150753,11.8304459757936,5.45676207003922,1.9598061212624,-0.0677114112853838,0.136284743341626,-0.0664197616023288,0.539048197877956,1.43151971601466,1.36380877260156,3.93159973125169,12.1034963812466,-11.6291565103914,-7.74246985905494,-0.141106146464611,0.0320500209694174,-0.00846434863144377,-0.424461704022805,-0.236281009165468,-0.859607297464866,-1.91137129004319,-0.202105776842224,-10.4794993731525,14.2308469248177,5.295763827462e-14,-1.65145674912992e-14,-6.30398511169972e-15,3.60822483003176e-16,-4.73406036594071e-15,-1.4432899320127e-14,-2.38836728172487e-14,5.6621374255883e-15,4.55885329486705e-15,2.55351295663786e-15
"8","CSIRO-Mk3-6-0",-79.0188632430279,11.7925233139741,8.27755426094751,9.87265050157583,7.23774800252675,9.50480556751618,8.03890897060069,9.46001447333324,8.0078305793917,6.82682757316194,-2.15410836210202,-55.9995531204354,4.25360541461615,6.72767153109964,7.64830772974849,7.85548999137143,6.41656522685896,9.46448027527486,8.14128903820027,7.64625227536767,0.227225441433847,1.67453062242019,-32.3141096929616,8.63491574574226,4.36917044940851,4.39183812085531,2.57014239997631,4.21186797711935,3.3930038591117,2.84141507689408,0.405835657683917,-0.723367022624831,3.25914153860398,24.8753307102908,-6.95215277877992,-7.17418401779723,-2.86251609563974,-4.5250934258065,-3.90228094850725,-2.40071361742325,-0.3037319325173,-0.136565139146064,0.815143987808582,1.87032055257032,22.1920654435933,-5.09833125615425,-5.55010892118935,-5.85087929592135,-4.74805282081054,-3.18986061823339,0.330715919299139,-0.172342159656207,0.849723784022095,2.11342403078775,-0.576892254790849,18.3507432704646,-5.16440532544309,-5.96367425679454,-4.54374656132957,-5.2235464465593,-0.319305927956486,-0.572599112761282,-0.721599137374594,-0.647426343754713,0.0850102418993649,0.0746725870764484,13.3202644313791,-14.49037776687,0.192064146989782,3.07929688137238,0.212143397033698,-0.114662378932331,0.0917618216160984,0.212613960518304,0.883069916869663,0.303881832609396,9.96161397528469,7.67187164917639,-13.0839210442786,-6.13837312989731,0.198181054326369,-0.0376740036799781,0.218778505207926,0.564216032394976,0.751501500560238,-0.703624890529483,3.6033755844339,0.273925029819149,9.86515825025857,-14.7338370627917,2.55351295663786e-15,-5.00710584105946e-14,-3.8372083288607e-15,-1.47104550762833e-15,7.84441955836712e-15,2.1094237467878e-15,8.20871148832225e-15,6.02295990859147e-15,7.34828864423775e-15,1.83915382923061e-14
"9","FGOALS-g2",-78.059463654948,15.0803532867502,7.51108805045389,7.77266524244492,7.88299730304393,8.75608087619421,6.99360638047608,8.50116257397646,7.53107206656383,8.03043787504441,-4.78211799858782,-57.0966074156901,11.7966425187107,7.81295768409542,7.21811717696271,8.15434260303956,6.02361473540542,8.2460400677562,7.03753370192079,5.5894769263871,0.044807567650243,2.32511018301229,32.5045300699539,-6.1019294999617,-4.50764743733027,-5.50726977679949,-5.52855049326902,-4.23386454954298,-4.73895386845413,-4.25623219525881,0.0378929243712893,-0.291121305507603,-0.770393189147779,-24.3395898881961,8.54953739839496,5.29216704648302,3.73745358278025,2.91872650074994,2.87982749714034,1.9854994329317,-0.0842859104753427,-0.0343232956235366,-0.168229330180647,3.64355019831188,21.6521366502363,-9.36118110156981,-4.44707282512011,-5.39354264587059,-3.50631892973934,-2.30073280996884,0.302827558842072,0.423983619690234,0.0930815347119044,1.59389313219759,2.60290347779139,16.4384556549295,-11.9875553215613,-4.19156374328505,-3.08365312685436,-2.19237278646202,0.158210515327146,0.0910787200773518,-0.693027079029824,-1.20939819688768,-0.892587145370323,-5.41632282291064,-13.9238344431622,10.0882005472728,6.16815335689633,5.62952654778699,0.150088475172472,0.214522203099889,-0.145464510828027,0.374732843237069,1.03903270273387,0.847244991726321,1.22903830923655,11.4820293098591,-13.69260062336,-1.49862370087723,-0.0270092227276522,-0.460019312240598,-0.0698751288768936,-0.710327638416978,-1.00533148585998,-0.593536252399927,-0.343337608562991,-5.46623106189523,-6.404240542014,15.0799082529942,9.97812943381859e-15,3.77475828372553e-15,-4.96824803519758e-15,3.66373598126302e-15,1.07136521876328e-14,-4.71150896075301e-15,-1.9151347174784e-15,-6.10622663543836e-16,-5.35682609381638e-15,-5.00988139862102e-15
"10","GFDL-CM3",-75.3999966409193,15.5190699265939,9.09859272955269,5.67783801004551,7.82183176654178,8.07090106967303,7.06009779784195,6.2352784015109,7.03754646589053,8.87884047326897,-5.52635706769019,-57.1543486545806,10.3269092081068,8.48079458837035,7.10909070499143,7.66450341583395,7.53421868687497,7.96289843031842,7.00552360813102,6.59676707964381,-0.964694334955846,-1.18572637798151,-33.5674054054447,11.1425845113254,4.38946623276279,5.59835939578121,3.58225006419374,2.67187662954179,4.15173566374273,4.18155362103434,0.408404601617962,-0.765364693818332,-4.66924439329091,-25.4048808694259,9.1329362157968,4.45245579440211,4.38767418493023,4.55522642268668,4.08406559676178,3.81872714033962,-0.0859023808067538,-0.0732168992701195,0.138626497947349,2.93465527254894,18.6050896066977,-16.287130523774,-1.14007810655702,-1.62243028475469,-1.49569966673934,-0.973913515292103,0.2410801650124,0.0579848119383381,1.19856158826798,1.36088048376243,10.2106185136701,14.0605295458177,-11.6396492528367,-5.38464977936633,-5.85148509829957,-4.25387097796626,-0.177992642275617,0.0631429382596523,-0.456922827030157,-0.110620668789454,-1.71091776651412,-2.85114228692387,-14.0569039148371,13.8731741295245,4.71260045692897,0.715582581657222,-0.2622735344298,0.339338953081567,-0.39029327794225,0.618332009910188,1.06306608922447,1.34348237468725,6.44296408913519,11.3803853222867,-11.795848047927,-8.73915397802631,0.279188631543961,-0.173029540789091,-0.0967081635634294,-0.285185324390234,-0.928596130089515,-0.891489967850958,-1.9441374030298,0.795405746750234,-11.2160451389711,14.4605972903899,-5.6621374255883e-14,7.55992490830693e-15,2.56999282965964e-15,4.05231403988182e-15,5.60662627435704e-15,1.52655665885959e-15,-1.80411241501588e-16,1.66117120059539e-14,1.74860126378462e-14,2.77555756156289e-15
