"","Model","tas1","tas2","tas3","tas4","tas5","tas6","tas7","tas8","tas9","tas10","tas11","tas12","tas13","tas14","tas15","tas16","tas17","tas18","tas19","tas20","tas21","tas22","tas23","tas24","tas25","tas26","tas27","tas28","tas29","tas30","tas31","tas32","tas33","tas34","tas35","tas36","tas37","tas38","tas39","tas40","tas41","tas42","tas43","tas44","tas45","tas46","tas47","tas48","tas49","tas50","tas51","tas52","tas53","tas54","tas55","tas56","tas57","tas58","tas59","tas60","tas61","tas62","tas63","tas64","tas65","tas66","tas67","tas68","tas69","tas70","tas71","tas72","tas73","tas74","tas75","tas76","tas77","tas78","tas79","tas80","tas81","tas82","tas83","tas84","tas85","tas86","tas87","tas88","tas89","tas90","tas91","tas92","tas93","tas94","tas95","tas96","tas97","tas98","tas99","tas100"
"1","ACCESS1-3",-90.5885472019831,11.8733189989201,10.2998563291405,9.46275509341704,9.69375754410162,9.92360755946353,9.63679808652084,9.31637630466718,10.4904005905789,9.89167669517343,-1.07644065750611,-54.8340626658585,10.6311040369738,4.36960767598813,6.01198998520639,7.06466175284099,6.68473743116274,6.73641955046649,7.64774475001076,6.76423814071532,-0.199807278867934,-2.01016630404583,-29.2148867132408,5.49162086515925,5.12541740997132,4.54902841438103,4.19679919517676,4.10131794482314,4.15128756202222,3.8093889046208,0.0655971814131578,0.597502039313176,-0.599749851274249,-18.2574608837076,8.20803536443069,2.47074276295368,2.11236268252766,2.02046016760923,1.78274576780127,1.599764768933,-0.0490688484945586,-0.370916111233192,0.611343316182783,4.24762480224353,14.2928785971779,-6.45017882078813,-3.43138447262424,-2.83176759405336,-3.49405630726979,-2.52447456114096,0.00569517000057906,-0.0252212559121555,0.237773919589265,0.787676352351226,1.6515163293228,10.6265270318057,-4.15765261056869,-3.06195587875323,-3.29143404407401,-2.77292501376144,-0.00636943161434411,-0.0434099359866646,0.069318533476316,0.191071697946983,0.26558582092315,0.521854094748767,8.3669850292333,-5.22190857428029,-2.23144234840354,-1.91168488604368,-0.0652469542231197,-0.0521131326729172,0.0666349445558567,0.149413379292458,-0.0198781586088455,0.160978624440483,1.88051793418401,6.37947151383805,-3.80063265651132,-4.69914549429466,-0.0407308058438443,-0.0774748420252249,-0.0537054457877644,-0.115308542859626,-0.265863436631327,-0.048544283448234,0.147765643225641,0.656880490839435,-6.01638493120071,5.81336615373166,-1.0019762797242e-13,-1.72084568816899e-15,9.85322934354826e-15,1.6903145549918e-14,2.2364055052293e-14,4.48252546192407e-15,1.08524300657109e-14,1.26565424807268e-14,1.56263890715991e-14,1.06720188242093e-14
"2","bcc-csm1-1",-90.9944239636936,12.7524958277491,10.042081463248,10.4614326318313,10.1380857894779,9.71068984980407,9.46074841381506,9.70327991021759,9.35492857256119,9.37068150498941,-1.65810397329506,-57.349647817153,9.20349198991204,8.68860325645777,9.72709975345773,6.4720960842609,4.82846489400502,5.67010160101246,7.12147128548603,7.29642292585615,-0.0681351279547236,-0.57091934711708,-24.0717504225587,2.76454554375413,7.73830895627656,3.51416367837923,2.60876363492882,2.74460865520898,2.69011360237788,2.65030082670487,-0.062147663353152,0.168601680940679,2.30665834225565,-16.7385986892697,12.4735307539149,0.431147700304708,-0.156725207207652,0.617804609178618,0.563776376393167,0.395952096842753,-0.171306821617298,-0.941191864696425,-1.71882819596342,-7.7932152980164,-10.7702593773253,6.85434283531433,3.86560233859887,3.86245835353642,3.42872394506861,3.38367408510062,-0.0494032910164446,-0.188749812740957,-0.505845195180624,-0.957472549882764,-1.15186970443628,-9.83282627932178,4.25729118278396,2.86200050163953,2.80621482757634,2.76066032057902,-0.00180313608218857,-0.182969447722003,0.0872346629197684,-0.0198601911421887,0.349299906329361,0.685471609075877,6.71676593586944,-2.28215457335083,-3.41855381303262,-1.93343095286462,0.0186448571056995,-0.119884267224849,0.0428849639824185,0.119065015209226,0.0834744493340558,-0.0726554766460665,-0.4946640854371,6.18310290745916,-4.23817194661787,-1.52179641716467,-0.00356504534334801,0.0654953978560524,-0.0288680739383438,-0.0715908523491209,-0.0490246215230256,-0.0757766861324938,-0.67935080569406,-1.26022454316081,-3.92895170165325,6.03185693193839,1.10481068738011e-13,-1.25233157177718e-13,1.7125190154843e-14,2.77902700851484e-15,1.5407813913626e-14,-2.02268757298896e-14,-4.50160742015981e-16,-8.42815400803332e-15,2.98892854910804e-15,5.53723733531797e-15
"3","BNU-ESM",-91.4652172075202,11.5123139945648,10.3039946477558,9.88686676887009,9.74493130803816,10.1286511701767,10.2943110440969,9.77459876022328,9.95888106610123,9.86066844769325,-0.771170374134189,-53.7552198967195,15.2790856020006,4.00782418973613,5.47645781988259,6.70883464336014,5.72210139864429,5.30070138129482,5.87797975372834,6.15340548220669,-0.158992485303965,-4.3572566573191,-26.522118136055,6.27151482429111,4.43368429980288,4.8564645072065,4.36574452148575,4.08232455633394,3.56492712941594,3.4637074401419,0.00770097102429812,-0.314189949522016,1.15433085520058,17.3895818254168,-12.1147583825808,-2.62086593757707,-0.740873369418604,-0.741988273148123,-1.12464124920396,-0.894296490191119,-0.0511755686561854,-0.320789651942922,0.483858438926107,6.24853265793224,11.7876084939985,-10.0401364989971,-2.1017746119149,-1.71750452035395,-2.192651859614,-2.09596687937778,-0.00124236260481103,-0.1418496213997,-0.564213092063867,-3.22351369854788,-3.75303612513057,-10.0067218531129,6.24364926197366,4.21560634222056,3.51858494111679,3.71273620754872,0.0373957476196882,0.0428308106587808,0.180093740668499,0.247094986436155,0.40265736592273,0.837711260275242,7.58887488870912,-4.79863650391417,-2.54207767846424,-1.9959446179118,-0.00384566627977168,-0.0313633696833717,0.152788564031186,-0.0540494115230482,0.0708463797573405,0.431059863615434,1.11441931420791,5.40760343269059,-5.38962850234761,-1.69783060446866,-0.0051487297867072,0.03436169003937,-0.0829104721032469,-0.0313799626507916,-0.00390894714656168,-0.0930858020216078,-0.658061665110873,-1.67224539799324,-3.81771253639688,6.33009182317054,1.07525099934946e-13,-2.99517355362156e-14,6.68909372336657e-15,-1.43773881688958e-14,-3.49720252756924e-15,-1.95676808090184e-14,4.79824513455185e-15,-2.10664818922623e-14,-2.64926969251178e-14,-5.64825963778048e-15
"4","CanESM2",-89.9700686962317,11.8671780696442,9.52826948707916,9.04878822937065,9.47645308556615,9.79376948066045,9.4618125493837,10.6160561411092,10.2291474152293,9.94859423818891,-1.16192580800876,-55.3869113904049,14.2882447616455,4.39156086639489,5.39340701676848,6.2688508806275,5.8632195677505,6.93493389300738,6.65093788794445,6.75768232427497,-0.017355158108387,-4.02055786879214,-29.5777879519934,5.92326951326168,5.49437602915557,4.65206964127642,4.23590328184667,4.49048317850769,4.4779409468311,4.3416583880148,0.133553217202895,0.354538488228214,-0.603781848259483,-17.6827733649922,8.57532612852329,2.62942148512418,1.55132677269876,1.90256381873661,1.57021713763741,1.56960816510035,0.122878446270776,0.29735939348882,-0.71427540265696,-4.71258278585887,-14.2601598759246,6.79518896453737,2.9593190301446,3.03374232786025,3.21362692351835,3.26490297862026,0.0500611426859827,0.0788351919561017,-0.223592773446449,-1.16740892596238,-1.75637212962401,-10.8709292615366,4.14076734615605,3.32077571587199,3.54008205965709,2.88778163424222,0.0718972640131169,0.114136367195634,0.00870423802551173,0.00285022819135691,-0.0458441635485191,-0.492503573355155,-7.97092248801146,3.03655893011327,3.44440364233963,1.83071955503661,-0.0332222949719049,-0.018867244120734,-0.00440355488373295,-0.0728142577104409,0.11359739807301,-0.0489311306603613,-0.175120592779391,-6.70233312632312,3.86260550901377,3.07948929436291,-0.00879758264385005,0.0193188844510813,-0.0242393546875843,-0.0187397454605826,-0.0160063737760252,-0.271314585414826,-0.697972584408601,-0.0386567508592814,-4.65751267482406,5.71392076762373,-2.47024622979097e-15,-9.54618328830037e-15,5.05151476204446e-15,-1.4812803761366e-14,2.88657986402541e-15,-1.32185928869433e-15,1.65353841730109e-14,-4.91620633091827e-15,4.21190859967169e-15,5.75234304633909e-15
"5","CCSM4",-90.5378042977384,11.356773649179,9.48093978231978,10.9474879963639,9.886417517001,9.55283510655991,9.67453331596797,9.45071195932737,10.3890012829971,9.7991036880225,-0.756073286461725,-55.3083381161109,9.91409950555157,11.1828182310463,6.35407434363633,5.57011269187194,5.8586717801813,4.47772397518818,6.28749954803594,6.41941132706109,0.172013406175047,-0.863448258791897,-25.2065563452819,9.68421666790133,2.97055405495133,3.82545249825319,2.29022836546093,2.61515509746233,2.27556981924222,2.23681469462744,-0.24262532727507,-1.93777926740626,-4.41184895270315,-19.1283046617126,7.11520178682223,4.94289743329096,3.90888406631001,3.90942657694401,2.85145610065815,2.99269224507177,-0.0601859101161719,-0.273952695854699,0.026897308020656,-1.28976688390827,-13.1127034929274,11.7016773904271,0.645270518018882,0.917409813366305,0.515752203458481,0.929601749515099,-0.00647257112610522,0.228799689845297,1.01635026893627,1.38773176356047,7.24677413782997,9.48474419435227,-6.3666927762568,-4.24243405121608,-4.82150619426064,-3.92729446166466,0.00327787970704918,-0.110747225872753,-0.0423029170212322,-0.235131499491647,-0.412833664132455,-0.717538157906965,-8.22757750803046,5.39011737953669,2.4924002425362,1.86033547067557,0.0502519154782785,0.156859828173073,-0.196246932590177,-0.341713934646906,-0.0352640185547782,0.0148787597416947,-1.7931302167653,-6.16945929381558,4.68174468122414,3.63207921175556,0.0272196740951085,-0.0238523036941792,0.0359011280939537,0.0188838815920793,0.0753824653586932,0.303864943095725,0.280999837518197,0.213929015744103,4.97682017628025,-5.90914881808393,1.83741910575463e-14,4.3902381730021e-14,-6.63358257213531e-15,-9.07607322631065e-15,-6.32133234645949e-15,-1.09807996029332e-15,4.30211422042248e-16,-1.70696790036118e-14,-1.0769163338864e-14,-9.74914593498966e-15
"6","CESM1-CAM5",-33.8713535859424,95.0193846663772,-7.61388688002723,-8.06104042587731,-7.58798766163156,-7.42276026309211,-8.17044285716712,-6.90269867162301,-7.68682035145008,-7.70239396956648,-21.7834886142025,-5.55008196474874,40.5883386300489,4.67109747505714,-3.26386807154835,-3.53737554046362,-3.10863987786435,-2.38240523393612,-2.6484958944862,-2.98508090785613,-2.97575439133714,-0.63653644487493,-5.99424484774962,26.729003460364,-1.49834549966987,-2.57992425460525,-2.46080237247246,-3.21535498979783,-3.66406582262877,-3.70397483722813,-15.472422335655,-4.00514515906375,-6.82752031584612,-0.508902883683048,6.75148082220027,5.79703277682782,-0.637985969677662,5.18821843302677,6.36631997390356,3.34892465796715,-1.06905283194591,-0.282322261469254,-0.616923828734079,0.461797434307358,-10.5934336728574,4.26303673377393,2.57822418103108,3.06759335516921,1.17701971291725,1.01406117780778,1.809570064459,0.415927225863271,0.887758526521106,0.0664040073314408,0.127359746741937,7.20009711601107,-8.17346253009965,-1.590272976657,-0.43552310703612,-0.307858073135052,-0.984927062132019,-0.188118887433607,-0.181503111907826,-0.357551888687433,1.16552264070221,4.97163451033525,5.614867689401,-6.79713377103378,-1.45704373594992,-1.78574638329388,-0.100887896559325,-0.0684452212013362,0.02437121155213,-0.317223324641666,1.65291259950625,2.12410089931661,1.31713033881798,5.25733917008115,-6.171098763668,-3.71819901320379,-0.637775092186572,-0.155704322211513,-0.246222454077286,0.0402638889150794,-0.0602220333451829,-0.0552433764519393,-0.0791725929297539,-0.752089225864649,-4.67004612324784,6.61621133139966,1.13936637902157e-14,6.46843689722232e-14,-5.52058398994859e-14,-7.57727214306669e-15,-3.20576898360514e-15,-2.79984369022657e-15,2.4980018054066e-15,4.91967577787022e-15,-8.04347907723546e-15,-3.32026073301961e-15
"7","CNRM-CM5",-91.6900176466907,11.2057775071199,10.2428340977972,10.8307809141892,10.1754692618748,10.0536098066404,10.2353007157454,10.4290083270593,9.48460533003442,9.03263168623008,-0.60537006297785,-54.9904905244902,10.3621751804204,7.24137099426241,7.60925536898819,5.50493586857731,6.07546392750341,6.27538092957699,5.7090792790935,6.81819903904586,-0.0207988172924317,1.21383827592743,22.1095395717127,-10.0570550041491,-6.29323972178046,-2.31666110071494,-0.988374564017264,-1.57886140809548,-1.00649272509498,-1.06189450649552,0.114287219150536,0.133119061161281,2.86469234960801,16.2353471172629,-14.6716050036469,-1.37989725140972,-0.694367689268116,-1.60359997273745,-0.415908443561032,-0.582067386559513,0.131176666260361,0.807896939181556,4.9204551653216,7.74400219783042,11.258699201985,-8.89104161279231,-4.30183281734779,-3.76440175231964,-3.94256740169602,-3.96238658642321,-0.0474644461106707,-0.0337120314052091,-1.45769762413474,-1.38477389848453,-1.60528015457261,-11.1889313121217,5.57480819599142,3.12159547579104,3.85268497926963,3.1687708157774,0.0426022078817583,-0.0355657787809425,0.0905007602125742,0.161924631337797,0.381789507560705,1.01286460491987,7.77703458958164,-4.26212246975196,-2.00121934920214,-3.1678087037593,-0.0805834458981178,-0.0122789802437601,-0.133544822417392,-0.15547756037546,0.295857631831207,0.0689531648258832,-1.14280114067249,-6.31442438093495,4.72262786825149,2.75167166563359,-0.0349121215140301,0.101564476478385,-0.0422125497090814,-0.0222612885782719,0.00312596349286942,-0.153833483589271,0.473825607583356,-1.26363492608278,-5.0841413242362,6.02247964615502,2.08166817117217e-15,8.24340595784179e-15,8.77076189453874e-15,9.54791801177635e-15,-3.92741394961149e-15,9.57567358739198e-16,-6.86950496486816e-15,-7.39686090156511e-15,8.98586760555986e-16,-3.04617442381527e-15
"8","CSIRO-Mk3-6-0",-90.8447175393268,11.1964202368086,9.74041209270328,10.2331951371907,9.25258166533612,10.2271865257149,9.74299411814298,10.0957150649351,10.3571666538296,9.99904604466551,-0.686887474995136,-55.4460253445505,11.1975501813765,9.03653359566246,6.25347426247728,5.54452881076813,5.46631443857698,5.71999322245187,6.0071122494501,6.90740605878235,0.0171198914726879,-1.90288750590113,-26.077288135139,5.89646696638637,7.42137577191144,2.93909683999656,2.64165790882352,3.12528909161693,3.13672776192962,2.80244140890301,0.144737318337293,0.747012366205725,-0.449543658918202,17.1589281169812,-13.336408705794,-1.25381603069545,-0.688171542623989,-1.00880918726796,-0.503760521577621,-0.810168154647014,-0.0879225572325499,0.729148400051722,2.58462775346765,8.15300036087012,11.9821450372524,-6.17711751824397,-5.01647518419133,-3.95325029819155,-4.26916642020866,-3.94498957357378,-0.0192159051292705,0.015346559920733,-0.175691423166168,-0.699287646626346,-0.563652803064577,-10.7581580484113,4.20319265421452,2.88246915952346,2.77373802646333,2.34125942627565,0.0383701623342838,0.0427727337132644,0.0370347745714743,-0.247008559251462,-0.376965674604574,-0.654576378604819,-7.65421892696923,4.58966790620495,3.76962279367366,0.455301168932462,0.0162525037611871,0.0430510725762977,0.00201943704992791,-0.0987041324849997,0.109251267390118,-0.162826531363657,-0.665731734787901,-6.16205748047767,6.01743322088643,0.901312377450264,-0.00529371455601396,0.121166499540263,-0.100541401158933,-0.0919713482048273,-0.172910238513065,-0.389765380010714,-1.98129280705021,-1.63948108651019,-2.99442424108437,7.25451371754805,1.38500322321988e-14,4.08006961549745e-15,-2.02338146237935e-14,-1.27675647831893e-15,-5.36723443467224e-15,3.05311331771918e-15,-6.45317133063372e-16,5.84948756099379e-15,5.30825383648903e-15,-1.64451785522601e-15
"9","FGOALS-g2",-91.4851116728269,11.018886030757,10.0140356633499,10.2855469841267,10.027530134455,9.90700950155973,9.89802263385104,9.90076461675027,10.4682618182017,9.96505428977563,-0.520275256592719,-56.2060108240694,12.6931847864561,7.66217486175088,6.25116110295068,5.32185053903355,6.43385263737077,5.52721035772602,8.10250175279717,4.73435004257696,-0.00869475630588457,-2.52657955953904,-25.0284993061624,5.40629464924112,6.51363187884597,3.52112997043083,3.01632958092602,3.0695031396974,2.92269695551914,3.1141874473468,-0.0475627141286576,-0.381383373937139,0.203848892578014,-16.7345595218238,12.1757897364884,1.61670978934644,0.772521346961025,0.852639106411982,0.734758557098782,0.807238181004948,-0.0254651381014825,-0.445950743763544,-1.84095810030957,-7.11797897173017,-11.5156742825693,5.72157995306714,4.17873126098294,3.71648217104915,3.63378019670412,3.69545365467071,0.00918328709344717,0.0752633509053673,-0.323286039731728,-0.808268965294978,-0.53416553749563,-9.95207469608212,3.9685394126558,3.11041934887646,2.08443298545588,2.3699568536175,-0.0149017285375517,0.0235912654967128,0.0410935988751446,0.14132544538605,0.194944129926579,0.646827773298468,6.96991980294929,-3.7587235813615,-2.64905975784691,-1.59501694818629,0.0275824369113023,0.13165340220082,-0.071567366167351,-0.102314537734607,-0.0606041125811581,-0.509744980615263,-0.720819934206457,-5.63642184694772,4.48982865456264,2.45240828457779,0.0215714674596047,0.237732893964281,-0.0846015032806839,-0.03450050602919,-0.00731573247749946,0.0151770928611375,0.65531867827912,0.725897370501675,4.06399394924733,-5.59327371052578,3.10723669016966e-14,-5.9161009424713e-14,5.82867087928207e-15,1.85129689356245e-14,-2.47024622979097e-15,-7.21644966006352e-16,9.62424584471933e-15,-4.38538094726937e-15,-3.18495230189342e-15,5.19029264012261e-15
"10","GFDL-CM3",-91.119579440591,11.7330106112609,10.2906696727545,10.6091207414724,10.2912588791571,10.1420739838228,8.57173619705767,9.10013888724284,10.3434002282266,10.0381702395961,-0.884522578175841,-53.0264611755496,13.1928598923811,9.24740801691833,4.17680379817952,5.97352426544481,4.98366822241432,4.61446499437594,5.71055347777224,6.01170108623914,-0.13642711291552,-3.38148162435925,-28.1770302030314,7.14201903564296,6.46416402654052,3.91602188681295,3.39171398080429,3.40952454463434,3.59213257245786,3.77936289341325,-0.065320393612238,-1.23558461475469,0.244417394151945,-13.6321019819331,16.6975672245125,-1.49311096862186,0.26234862570855,0.285664447816107,-0.688499557788026,-0.375380175479165,-0.180554477507555,-0.787484457125137,-1.9387027961627,-12.2694147241899,-9.14460432065868,8.66290927921047,3.840881154225,3.86227800907221,4.04465225233401,3.91004008080226,-0.113694409095357,-0.226555997023494,-0.4043479922691,-1.32120355355782,-1.95637349995319,-10.7031913609823,4.27388463626177,3.84875935253106,4.0107775163498,2.59194530773862,0.0526148525056336,-0.0221633416539099,0.00696109342069029,-0.0661076135724665,-0.0175759663482769,-0.30355648501163,-7.384048740291,5.91578213078905,0.500958342122761,1.31713572803914,0.11425043926987,0.123766001559902,0.0149784863563065,-0.268537145786432,0.199130873073608,-0.383338753917202,-3.28645136230157,-5.34128534713225,5.42826208684562,3.39922472203216,-0.00797434933159824,0.0444872400846547,0.00438109686972266,-0.0778733148173153,-0.146265771822694,-0.500198890160126,0.0993182650104615,-0.865619503941142,-4.63930242574526,6.08904765385329,3.15025783237388e-15,-2.84147705365001e-14,1.2490009027033e-15,7.91033905045424e-15,-1.78329573330416e-14,4.01761957036229e-15,9.96425164601078e-15,7.14706072102445e-15,7.99100369208716e-15,1.06546715894495e-14
